,club,firstname,id,lastname,position,quotation,teamId,ultraPosition,avgRate,sumGoals,currentChampionship,percentageStarter
629,Elche,Gerard,player_508463,Barri,2,1,954,21,-,0.0,3.0,0.0
630,Villarreal,Filip,player_508479,Jorgensen,1,1,449,10,-,0.0,3.0,0.0
631,Huesca,Kevin,player_509201,Omoruyi,4,1,2894,40,-,0.0,3.0,0.0
632,Real Sociedad,Jérémy,player_513942,Blasco,2,1,188,20,-,0.0,3.0,0.0
633,Villarreal,,player_513948,Lanchi,2,1,449,21,-,0.0,3.0,0.0
634,Villarreal,Carlo Adriano,player_513949,García,3,1,449,32,-,0.0,3.0,0.0
635,Celta,Gabriel,player_514189,Veiga,3,4,176,32,4.7,0.0,3.0,0.06
636,Real Sociedad,Urko,player_514204,Gonzalez,2,1,188,20,4.5,0.0,3.0,0.0
637,Eibar,Unai,player_514206,Arietaleanizbeaskoa,4,3,953,40,4.3,0.0,3.0,0.0
638,Alavés,,player_514474,Pepe Blanco,3,1,173,31,-,0.0,3.0,0.0
639,Betis,,player_514476,Fran Delgado,2,1,185,21,-,0.0,3.0,0.0
640,Betis,Geovanni,player_514477,Barba,2,1,185,20,-,0.0,3.0,0.0
641,Granada,Arnau,player_514526,Fàbrega,1,1,5683,10,-,0.0,3.0,0.0
642,Elche,José,player_515611,Salinas,2,1,954,21,-,0.0,3.0,0.0
643,Celta,,player_515619,Raúl Blanco,1,1,176,10,-,0.0,3.0,0.0
644,Celta,Lautaro,player_518336,de León,4,1,176,40,4,0.0,3.0,0.0
645,Granada,Raúl,player_519534,Torrente,3,1,5683,32,-,0.0,3.0,0.0
646,Granada,Carlos,player_519838,León,3,1,5683,31,-,0.0,3.0,0.0
647,Granada,Ángel,player_519839,Jiménez,1,3,5683,10,8.0,0.0,3.0,0.06
648,Granada,Sergio,player_519841,Barcia,2,1,5683,20,5.5,0.0,3.0,0.06
649,Granada,Rafael,player_519842,Romero,1,1,5683,10,-,0.0,3.0,0.0
650,Sevilla,Iván,player_521508,Romero,4,1,179,40,-,0.0,3.0,0.0
651,Levante,Petr,player_521509,Kudakovskiy,1,1,855,10,-,0.0,3.0,0.0
652,Getafe,John,player_521510,Patrick,3,1,1450,31,4.7,0.0,3.0,0.0
653,Elche,,player_522785,John Donald,3,1,954,31,4.5,0.0,3.0,0.06
654,Real Sociedad,Unai,player_523062,Marrero,1,1,188,10,-,0.0,3.0,0.0
655,Huesca,Manuel,player_523093,Galan,2,1,2894,20,-,0.0,3.0,0.0
656,Bilbao,,player_523654,Nico Williams,4,1,174,40,-,0.0,3.0,0.0
